Monthly mean sea levels with the average seasonal cycle removed.
The values are in meters relative to the most recent Mean Sea Level datum established by CO-OPS.
Column values are the Year; Month; Monthly Mean; Relative Sea Level Trend Line; Higher 95% Confidence Interval; and Lower 95% Confidence Interval.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1935,5,-0.180,-0.145,-0.128,-0.162,
1935,6,-0.174,-0.145,-0.127,-0.162,
1935,7,-0.174,-0.145,-0.127,-0.162,
1935,8,-0.225,-0.144,-0.127,-0.162,
1935,9,-0.103,-0.144,-0.127,-0.161,
1935,10,-0.235,-0.144,-0.127,-0.161,
1935,11,-0.082,-0.144,-0.126,-0.161,
1935,12,-0.169,-0.143,-0.126,-0.161,
1936,1,0.005,-0.143,-0.126,-0.160,
1936,2,-0.021,-0.143,-0.126,-0.160,
1936,3,-0.057,-0.143,-0.126,-0.160,
1936,4,0.004,-0.143,-0.125,-0.160,
1936,5,-0.214,-0.142,-0.125,-0.159,
1936,6,-0.077,-0.142,-0.125,-0.159,
1936,7,-0.138,-0.142,-0.125,-0.159,
1936,8,-0.152,-0.142,-0.125,-0.159,
1936,9,-0.203,-0.141,-0.124,-0.158,
1936,10,-0.095,-0.141,-0.124,-0.158,
1936,11,-0.198,-0.141,-0.124,-0.158,
1936,12,-0.011,-0.141,-0.124,-0.158,
1937,1,-0.001,-0.140,-0.124,-0.157,
1937,2,0.095,-0.140,-0.123,-0.157,
1937,3,-0.130,-0.140,-0.123,-0.157,
1937,4,-0.026,-0.140,-0.123,-0.157,
1937,5,-0.074,-0.140,-0.123,-0.156,
1937,6,-0.153,-0.139,-0.123,-0.156,
1937,7,-0.150,-0.139,-0.122,-0.156,
1937,8,-0.118,-0.139,-0.122,-0.156,
1937,9,-0.142,-0.139,-0.122,-0.155,
1937,10,-0.186,-0.138,-0.122,-0.155,
1937,11,-0.213,-0.138,-0.121,-0.155,
1937,12,-0.163,-0.138,-0.121,-0.155,
1938,1,-0.113,-0.138,-0.121,-0.154,
1938,2,-0.210,-0.137,-0.121,-0.154,
1938,3,-0.185,-0.137,-0.121,-0.154,
1938,4,-0.130,-0.137,-0.120,-0.154,
1938,5,-0.113,-0.137,-0.120,-0.153,
1938,6,-0.107,-0.137,-0.120,-0.153,
1938,7,-0.119,-0.136,-0.120,-0.153,
1938,8,-0.133,-0.136,-0.120,-0.153,
1938,9,-0.145,-0.136,-0.119,-0.152,
1938,10,-0.086,-0.136,-0.119,-0.152,
1938,11,-0.079,-0.135,-0.119,-0.152,
1938,12,-0.087,-0.135,-0.119,-0.152,
1939,1,-0.104,-0.135,-0.119,-0.151,
1939,2,-0.011,-0.135,-0.118,-0.151,
1939,3,0.047,-0.135,-0.118,-0.151,
1939,4,-0.142,-0.134,-0.118,-0.151,
1939,5,-0.083,-0.134,-0.118,-0.150,
1939,6,-0.144,-0.134,-0.118,-0.150,
1939,7,-0.086,-0.134,-0.117,-0.150,
1939,8,-0.088,-0.133,-0.117,-0.150,
1939,9,-0.094,-0.133,-0.117,-0.149,
1939,10,-0.201,-0.133,-0.117,-0.149,
1939,11,-0.213,-0.133,-0.117,-0.149,
1939,12,-0.218,-0.132,-0.116,-0.149,
